focus_country,other_country,val
DEU,CAN,45720336
DEU,CRI,548067
DEU,CUB,38283
DEU,CUW,131406
DEU,DOM,555714
DEU,GRL,195552
DEU,GTM,917636
DEU,HND,29617
DEU,JAM,8261
DEU,MAF,3111
DEU,MEX,9964353
DEU,NIC,32335
DEU,PAN,1244280
DEU,SLV,64911
DEU,TTO,73860
DEU,USA,134704026
DEU,VCT,3984
DEU,AUS,74025227
DEU,FJI,44003
DEU,GUM,36023
DEU,NCL,24398
DEU,NZL,4726390
DEU,PLW,44406
DEU,PYF,570339
DEU,ARG,1174929
DEU,BOL,40006
DEU,BRA,12886896
DEU,CHL,8674229
DEU,COL,1746317
DEU,ECU,398891
DEU,PER,860236
DEU,PRY,716558
DEU,SUR,116266
DEU,URY,507856
DEU,VEN,16910
FRA,AGO,6230
FRA,BDI,5992
FRA,BEN,365786
FRA,BFA,344662
FRA,CAF,18037
FRA,CIV,2017638
FRA,CMR,740909
FRA,COD,53756
FRA,COG,551963
FRA,COM,95114
FRA,CPV,11582
FRA,DJI,542971
FRA,DZA,7686803
FRA,EGY,699144
FRA,ETH,2279
FRA,GAB,1432630
FRA,GHA,52220
FRA,GIN,99387
FRA,GMB,1381
FRA,GNQ,100384
FRA,LBR,3550
FRA,LBY,1595305
FRA,MAR,3831230
FRA,MDG,309649
FRA,MLI,287085
FRA,MOZ,16568
FRA,MRT,197996
FRA,MUS,2057862
FRA,MWI,2962
FRA,NER,240599
FRA,NGA,67889
FRA,RWA,8421
FRA,SDN,1841
FRA,SEN,1391608
FRA,SLE,69233
FRA,STP,17427
FRA,SYC,265880
FRA,TCD,52528
FRA,TGO,324778
FRA,TUN,818741
FRA,TZA,9066
FRA,UGA,1101
FRA,ZAF,5262816
FRA,ZMB,37806
FRA,AFG,43765
FRA,ARE,5902688
FRA,ARM,242526
FRA,AZE,197656
FRA,BHR,1160892
FRA,BRN,1766
FRA,CHN,10723828
FRA,CYP,187727
FRA,GEO,230675
FRA,HKG,8950311
FRA,IDN,745731
FRA,IND,203529
FRA,IRN,131259
FRA,IRQ,53777
FRA,ISR,1000649
FRA,JOR,727035
FRA,JPN,40563643
FRA,KAZ,175822
FRA,KGZ,5307
FRA,KHM,182878
FRA,KOR,14037783
FRA,KWT,2408230
FRA,LBN,1261908
FRA,LKA,458239
FRA,MAC,230434
FRA,MDV,14047
FRA,MNG,105204
FRA,MYS,903409
FRA,NPL,36380
FRA,OMN,9369255
